[ui][nex_ui_on_click] register callback | widget=6, callback=0x2912178081c
[ui][nex_ui_on_click] register callback | widget=7, callback=0x291217808b0
[ui][nex_ui_on_click] register callback | widget=8, callback=0x29121780942
[ui][nex_ui_on_change] register callback | widget=11, callback=0x29121780728
[ui][nex_ui_on_click] register callback | widget=12, callback=0x291217809a3
[ui][handle_text_input] received text input | text="t", focused=Some(11)
[ui][handle_text_input] updated text widget content | widget=11, before="", after="t"
[ui][handle_text_input] queued callbacks | widget=11, callback_count=1
[ui][fire_pending] invoking callback | widget=11, kind=Change, fn_ptr=0x29121780728
[ui][fire_pending] callback returned | widget=11, kind=Change
[ui][handle_text_input] received text input | text="e", focused=Some(11)
[ui][handle_text_input] updated text widget content | widget=11, before="t", after="te"
[ui][handle_text_input] queued callbacks | widget=11, callback_count=1
[ui][fire_pending] invoking callback | widget=11, kind=Change, fn_ptr=0x29121780728
[ui][fire_pending] callback returned | widget=11, kind=Change
[ui][handle_text_input] received text input | text="s", focused=Some(11)
[ui][handle_text_input] updated text widget content | widget=11, before="te", after="tes"
[ui][handle_text_input] queued callbacks | widget=11, callback_count=1
[ui][fire_pending] invoking callback | widget=11, kind=Change, fn_ptr=0x29121780728
[ui][fire_pending] callback returned | widget=11, kind=Change
[ui][handle_text_input] received text input | text="t", focused=Some(11)
[ui][handle_text_input] updated text widget content | widget=11, before="tes", after="test"
[ui][handle_text_input] queued callbacks | widget=11, callback_count=1
[ui][fire_pending] invoking callback | widget=11, kind=Change, fn_ptr=0x29121780728
[ui][fire_pending] callback returned | widget=11, kind=Change
[ui][fire_pending] invoking callback | widget=12, kind=Click, fn_ptr=0x291217809a3
[ui][fire_pending] callback returned | widget=12, kind=Click
[ui][nex_ui_on_click] register callback | widget=6, callback=0x13a1a79081c
[ui][nex_ui_on_click] register callback | widget=7, callback=0x13a1a7908b0
[ui][nex_ui_on_click] register callback | widget=8, callback=0x13a1a790942
[ui][nex_ui_on_change] register callback | widget=11, callback=0x13a1a790728
[ui][nex_ui_on_click] register callback | widget=12, callback=0x13a1a7909a3
[ui][handle_text_input] received text input | text="t", focused=Some(11)
[ui][handle_text_input] updated text widget content | widget=11, before="", after="t"
[ui][handle_text_input] queued callbacks | widget=11, callback_count=1
[ui][fire_pending] invoking callback | widget=11, kind=Change, fn_ptr=0x13a1a790728
[ui][fire_pending] callback returned | widget=11, kind=Change
[ui][handle_text_input] received text input | text="e", focused=Some(11)
[ui][handle_text_input] updated text widget content | widget=11, before="t", after="te"
[ui][handle_text_input] queued callbacks | widget=11, callback_count=1
[ui][fire_pending] invoking callback | widget=11, kind=Change, fn_ptr=0x13a1a790728
[ui][fire_pending] callback returned | widget=11, kind=Change
[ui][handle_text_input] received text input | text="s", focused=Some(11)
[ui][handle_text_input] updated text widget content | widget=11, before="te", after="tes"
[ui][handle_text_input] queued callbacks | widget=11, callback_count=1
[ui][fire_pending] invoking callback | widget=11, kind=Change, fn_ptr=0x13a1a790728
[ui][fire_pending] callback returned | widget=11, kind=Change
[ui][handle_text_input] received text input | text="t", focused=Some(11)
[ui][handle_text_input] updated text widget content | widget=11, before="tes", after="test"
[ui][handle_text_input] queued callbacks | widget=11, callback_count=1
[ui][fire_pending] invoking callback | widget=11, kind=Change, fn_ptr=0x13a1a790728
[ui][fire_pending] callback returned | widget=11, kind=Change
[ui][fire_pending] invoking callback | widget=12, kind=Click, fn_ptr=0x13a1a7909a3
[ui][fire_pending] callback returned | widget=12, kind=Click
[ui][fire_pending] invoking callback | widget=6, kind=Click, fn_ptr=0x13a1a79081c
[ui][fire_pending] callback returned | widget=6, kind=Click
[ui][fire_pending] invoking callback | widget=6, kind=Click, fn_ptr=0x13a1a79081c
[ui][fire_pending] callback returned | widget=6, kind=Click
[ui][fire_pending] invoking callback | widget=7, kind=Click, fn_ptr=0x13a1a7908b0
[ui][fire_pending] callback returned | widget=7, kind=Click
[ui][fire_pending] invoking callback | widget=7, kind=Click, fn_ptr=0x13a1a7908b0
[ui][fire_pending] callback returned | widget=7, kind=Click
[ui][fire_pending] invoking callback | widget=7, kind=Click, fn_ptr=0x13a1a7908b0
[ui][fire_pending] callback returned | widget=7, kind=Click
[ui][fire_pending] invoking callback | widget=8, kind=Click, fn_ptr=0x13a1a790942
[ui][fire_pending] callback returned | widget=8, kind=Click
[ui][nex_ui_on_click] register callback | widget=3, callback=0x19f5c63021c
[ui][nex_ui_on_click] register callback | widget=4, callback=0x19f5c63024d
[ui][nex_ui_on_click] register callback | widget=5, callback=0x19f5c63027e
[ui][nex_ui_on_click] register callback | widget=6, callback=0x19f5c6302af
[ui][nex_ui_on_click] register callback | widget=11, callback=0x19f5c6302e0
[ui][nex_ui_on_click] register callback | widget=12, callback=0x19f5c630331
[ui][nex_ui_on_click] register callback | widget=19, callback=0x19f5c63042f
[ui][nex_ui_on_click] register callback | widget=20, callback=0x19f5c6304c3
[ui][nex_ui_on_click] register callback | widget=21, callback=0x19f5c630555
[ui][nex_ui_on_change] register callback | widget=25, callback=0x19f5c630032
[ui][nex_ui_on_click] register callback | widget=26, callback=0x19f5c6305d9
[ui][fire_pending] invoking callback | widget=5, kind=Click, fn_ptr=0x19f5c63027e
[ui][fire_pending] callback returned | widget=5, kind=Click
[ui][fire_pending] invoking callback | widget=6, kind=Click, fn_ptr=0x19f5c6302af
[ui][fire_pending] callback returned | widget=6, kind=Click
[ui][fire_pending] invoking callback | widget=3, kind=Click, fn_ptr=0x19f5c63021c
[ui][fire_pending] callback returned | widget=3, kind=Click
[ui][fire_pending] invoking callback | widget=19, kind=Click, fn_ptr=0x19f5c63042f
[ui][fire_pending] callback returned | widget=19, kind=Click
[ui][fire_pending] invoking callback | widget=19, kind=Click, fn_ptr=0x19f5c63042f
[ui][fire_pending] callback returned | widget=19, kind=Click
